"","Victim.s.age","Victim.s.gender","Victim.s.race","Date.of.injury.resulting.in.death..month.day.year.","Location.of.injury..address.","Location.of.death..city.","Location.of.death..state.","Location.of.death..zip.code.","Cause.of.death","Official.disposition.of.death..justified.or.other.","Unarmed"
"727","36","Male","Native American","2/10/2016","7400 N Star St","Barrow","AK",99723,"Gunshot","Pending investigation","Allegedly Armed"
"728","52","Male","White","2/10/2016","1600 W County Rd B","Roseville","MN",55113,"Gunshot","Unreported","Allegedly Armed"
"729","56","Male","Unknown race","2/10/2016","Texas Hwy 274 and County Rd 4044","Kemp","TX",75143,"Gunshot","Pending investigation","Allegedly Armed"
"730","41","Male","White","2/10/2016","6400 Ladd Ave","Louisville","KY",40216,"Gunshot","Pending investigation","Allegedly Armed"
"731","22","Male","Hispanic","2/9/2016","1313 W Lido Pl","Anaheim","CA",92801,"Gunshot","Pending investigation","Unarmed"
"732","44","Female","White","2/9/2016","Schalren Dr","Latham","NY",12110,"Gunshot","Suicide","Unarmed"
"733","10","Male","White","2/9/2016","Schalren Dr","Latham","NY",12110,"Gunshot","Suicide","Unarmed"
"734","29","Male","Pacific Islander","2/9/2016","325 Makaala St","Hilo","HI",96720,"Gunshot","Pending investigation","Allegedly Armed"
"735","17","Male","Black","2/8/2016","300 E Yager Ln","Austin","TX",78753,"Gunshot","Unjustified, Officer fired","Unarmed"
"736","33","Male","Black","2/8/2016","1200 Keystone Rd","Chester","PA",19013,"Gunshot","Pending investigation","Allegedly Armed"
"737","22","Male","Black","2/8/2016","Simon Bolivar Ave and Philip St","New Orleans","LA",70113,"Gunshot","Pending investigation","Vehicle"
"738","23","Male","Black","2/7/2016","500 Whitethorne Ave","Columbus","OH",43223,"Gunshot","Pending investigation","Allegedly Armed"
"739","36","Male","Unknown race","2/7/2016","191 Angel Ln","Austin","AR",72007,"Gunshot","Pending investigation","Unclear"
"740","31","Male","Unknown race","2/6/2016","Brannan Street and 9th Street","San Francisco","CA",94103,"Vehicle","Pending investigation","Unclear"
"741","27","Male","Black","2/6/2016","Brannan Street and 9th Street","San Francisco","CA",94103,"Vehicle","Pending investigation","Unclear"
"742","23","Male","Black","2/6/2016","Brannan Street and 9th Street","San Francisco","CA",94103,"Vehicle","Pending investigation","Unclear"
"743","47","Male","Unknown race","2/6/2016","Co Rd 106 & Township Rd 105","Kenton","OH",43326,"Gunshot","Pending investigation","Allegedly Armed"
"744","16","Male","Hispanic","2/6/2016","3300 E 6th St","Los Angeles","CA",90023,"Gunshot","Pending investigation","Allegedly Armed"
"745","27","Male","Hispanic","2/6/2016","1881 Rte 37 W","Toms River","NJ",8757,"Gunshot","Pending investigation","Allegedly Armed"
"746","23","Female","White","2/5/2016","3600 E Nic Dr","Addis","LA",70710,"Gunshot","Pending investigation","Unclear"
"747","37","Male","Black","2/5/2016","East 6th Street and McElheny Road","Antioch","CA",94509,"Physical restraint","Pending investigation","Unarmed"
"748","30","Male","White","2/5/2016","Garcon Point Rd","Milton","FL",32583,"Gunshot","Pending investigation","Allegedly Armed"
"749","38","Male","White","2/5/2016","2100 Kanoelehua Ave","Hilo","HI",96720,"Gunshot","Pending investigation","Vehicle"
"750","51","Male","White","2/5/2016","","Harmony","NC",28634,"Gunshot","Pending investigation","Allegedly Armed"
"751","55","Male","White","2/5/2016","300 Broadway St","Seaside","OR",97138,"Gunshot","Pending investigation","Allegedly Armed"
"752","43","Male","White","2/5/2016","403 S. Greeley Highway","Cheyenne","WY",82007,"Gunshot","Suicide","Allegedly Armed"
"753","47","Male","White","2/4/2016","Blue Ridge Blvd and E 113th St","Kansas City","MO",64134,"Gunshot","Pending investigation","Allegedly Armed"
"754","54","Male","White","2/4/2016","2925 River Rd","Perry","OH",44081,"Gunshot","Pending investigation","Unarmed"
"755","24","Transgender","White","2/4/2016","E Brown Rd and N 80th St","Mesa","AZ",85207,"Gunshot","Pending investigation","Allegedly Armed"
"756","36","Male","Black","2/4/2016","10362 Sahara Street","San Antonio","TX",78216,"Gunshot","Pending investigation","Unarmed"
"757","43","Male","Hispanic","2/4/2016","S El Paso St and E Overland Ave","El Paso","TX",79901,"Gunshot","Pending investigation","Allegedly Armed"
"758","31","Male","White","2/3/2016","Baseline Rd and Cherry Rd","Ocala","FL",34472,"Gunshot","Pending investigation","Allegedly Armed"
"759","53","Male","White","2/3/2016","","Okmulgee","OK",74447,"Gunshot","Pending investigation","Allegedly Armed"
"760","22","Male","Native American","2/3/2016","","Rosebud","SD",57570,"Gunshot","Pending investigation","Unclear"
"761","21","Male","Hispanic","2/2/2016","La Veta Dr NE and El Encanto Pl NE","Albuquerque","NM",87110,"Gunshot","Pending investigation","Allegedly Armed"
"762","33","Male","White","2/2/2016","Donop Road and Old Corpus Christi Road","San Antonio","TX",78112,"Vehicle","Pending investigation","Unarmed"
"763","34","Male","White","2/2/2016","Chestnut Ave","Carbondale","PA",18407,"Gunshot","Charged with criminal homicide, assault, and reckless endangerment","Unarmed"
"764","30","Male","White","2/2/2016","10635 Folsom Blvd","Cordova","CA",95670,"Gunshot","Pending investigation","Allegedly Armed"
"765","36","Male","Black","2/1/2016","5300 Clay Terrace NE","Washington","DC",20019,"Gunshot","Pending investigation","Unarmed"
"766","42","Male","White","1/31/2016","Weedpatch Hwy and Farmers Lane","Bakersfield","CA",93307,"Gunshot","Pending investigation","Allegedly Armed"
"767","29","Male","Black","1/31/2016","7300 S Paulina St","Chicago","IL",60636,"Gunshot","Pending investigation","Allegedly Armed"
"768","46","Male","Hispanic","1/31/2016","N 3rd St and W Main St","Immokalee","FL",34142,"Gunshot","Pending investigation","Allegedly Armed"
"769","62","Male","Unknown race","1/31/2016","36500 Bridgepointe Dr","Newark","CA",94560,"Gunshot","Pending investigation","Allegedly Armed"
"770","37","Male","Black","1/31/2016","Whitney Ave","Pittsburgh","PA",15221,"Gunshot","Pending investigation","Allegedly Armed"
"771","38","Male","Hispanic","1/30/2016","401 N Timberline Rd","Fort Collins","CO",80524,"Gunshot","Pending investigation","Unclear"
"772","42","Male","White","1/30/2016","","Sugar Creek","MO",64161,"Gunshot","Pending investigation","Allegedly Armed"
"773","25","Male","White","1/30/2016","Old Decatur Rd","Fort Worth","TX",76179,"Gunshot","Pending investigation","Unclear"
"774","29","Male","Black","1/29/2016","Texas Hwy 183","Irving","TX",75062,"Gunshot","Pending investigation","Allegedly Armed"
"775","41","Female","White","1/29/2016","Lee Road 443","Phenix","AL",36870,"Gunshot","Pending investigation","Unclear"
"776","33","Male","Black","1/29/2016","Western Ave and Nichols Ave","Lynn","MA",1904,"Gunshot","Pending investigation","Allegedly Armed"
"777","64","Male","Hispanic","1/29/2016","Sheila Gail Ln","Rossville","GA",30741,"Gunshot","Pending investigation","Allegedly Armed"
"778","19","Male","Black","1/28/2016","3700 SE Concord Rd","Oak Grove","OR",97267,"Gunshot","Pending investigation","Allegedly Armed"
"779","33","Male","White","1/28/2016","3600 S 67th St","Omaha","NE",68106,"Gunshot","Pending investigation","Unclear"
"780","24","Male","Hispanic","1/28/2016","Pines Boulevard and Northwest 114th Avenue","Pembroke Pines","FL",33026,"Vehicle","Pending investigation","Vehicle"
"781","32","Female","Native American","1/28/2016","3300 S Sawyer St","Tacoma","WA",98418,"Gunshot","Pending investigation","Unarmed"
"782","31","Female","Black","1/27/2016","Hubbard Dr","Dearborn","MI",48126,"Gunshot","Pending investigation","Vehicle"
"783","27","Male","White","1/27/2016","Pocosin Rd","Latta","SC",29565,"Gunshot","Pending investigation","Allegedly Armed"
"784","26","Male","Hispanic","1/27/2016","I-75 and Delk Rd","Marietta","GA",30067,"Gunshot","Pending investigation","Allegedly Armed"
"785","30","Male","Unknown race","1/27/2016","4000 Vista Ridge Ln","Alvarado","TX",76009,"Gunshot","Pending investigation","Allegedly Armed"
"786","40","Male","Asian","1/27/2016","Grandview Dr","Lenoir City","TN",37772,"Gunshot","Pending investigation","Unclear"
"787","32","Male","Black","1/27/2016","800 South Parkway E","Memphis","TN",38106,"Gunshot","Pending investigation","Unclear"
"788","52","Male","White","1/27/2016","Little Blakely Creek Rd","Mountain Pine","AR",71949,"Gunshot","Pending investigation","Allegedly Armed"
"789","31","Male","Hispanic","1/27/2016","3007 Cerrillos Rd","Santa Fe","NM",87507,"Gunshot","Pending investigation","Allegedly Armed"
"790","19","Male","Black","1/26/2016","E Empire Ave & Pipestone St","Benton Harbor","MI",49022,"Vehicle","Pending investigation","Unarmed"
"791","57","Female","Hispanic","1/26/2016","5000 Camelia Street","Brownsville","TX",78521,"Gunshot","Pending investigation","Unarmed"
"792","55","Male","White","1/26/2016","US-395","Seneca","OR",97720,"Gunshot","Pending investigation","Unclear"
"793","38","Male","Hispanic","1/25/2016","S McCarran Blvd","Reno","NV",89502,"Gunshot","Pending investigation","Allegedly Armed"
"794","47","Male","White","1/25/2016","8800 11th Avenue","Hesperia","CA",92345,"Gunshot","Pending investigation","Allegedly Armed"
"795","27","Female","Black","1/24/2016","Clearlake Road and Rosetine Street","Cocoa","FL",32926,"Vehicle","Pending investigation","Unarmed"
"796","30","Male","Black","1/24/2016","Clearlake Road and Rosetine Street","Cocoa","FL",32926,"Vehicle","Pending investigation","Vehicle"
"797","43","Male","White","1/23/2016","1855 County Rd 701","Clanton","AL",35045,"Gunshot","Pending investigation","Unclear"
"798","38","Male","Black","1/22/2016","68th Street and Anthony Avenue","Chicago","IL",60637,"Vehicle","Pending investigation","Vehicle"
"799","26","Male","White","1/22/2016","900 Horseshoe Rd","Augusta","GA",30906,"Gunshot","Pending investigation","Allegedly Armed"
"800","67","Female","White","1/22/2016","Husky Trail","Warsaw","IN",46582,"Vehicle","Pending investigation","Unarmed"
"801","44","Male","White","1/21/2016","NJ-55","Millville","NJ",8332,"Vehicle","Pending investigation","Unarmed"
"802","39","Male","Black","1/21/2016","US-69","Eufaula","OK",74432,"Gunshot","Pending investigation","Allegedly Armed"
"803","37","Male","White","1/20/2016","4116 S Ranch Road 783","Harper","TX",78631,"Gunshot","Pending investigation","Unclear"
"804","33","Male","White","1/20/2016","US-231 and Inspirational Dr","Meridianville","AL",35759,"Gunshot","Pending investigation","Allegedly Armed"
"805","40","Male","Black","1/20/2016","Louisiana Hwy 741","Port Barre","LA",70577,"Gunshot","Pending investigation","Allegedly Armed"
"806","36","Male","White","1/19/2016","1100 Riverwood Rd","Dallas","TX",75217,"Gunshot","Pending investigation","Allegedly Armed"
"807","55","Male","White","1/19/2016","Virginia Ave","Statesville","NC",28677,"Gunshot","Pending investigation","Allegedly Armed"
"808","28","Male","White","1/19/2016","3495 Madison Hwy","Valdosta","GA",31601,"Gunshot","Pending investigation","Allegedly Armed"
"809","26","Male","Hispanic","1/19/2016","3200 Nicole St","Stockton","CA",95205,"Taser","Pending investigation","Unarmed"
"810","27","Male","White","1/18/2016","3012 Crater Lake Hwy","Medford","OR",97504,"Gunshot","Pending investigation","Allegedly Armed"
"811","28","Male","White","1/18/2016","Swissco Dr","Orlando","FL",32822,"Gunshot","Pending investigation","Unarmed"
"812","39","Male","White","1/18/2016","W Peoria Ave and N 19th Ave","Phoenix","AZ",85029,"Gunshot","Pending investigation","Allegedly Armed"
"813","33","Male","White","1/18/2016","N Oracle Rd and W Roger Rd","Tucson","AZ",85705,"Gunshot","Pending investigation","Allegedly Armed"
"814","29","Male","White","1/18/2016","3800 Amy Pl","Union City","CA",94587,"Gunshot","Pending investigation","Allegedly Armed"
"815","47","Male","White","1/17/2016","E 5th St","Jacksonville","FL",32206,"Gunshot","Pending investigation","Allegedly Armed"
"816","24","Male","Hispanic","1/17/2016","8800 Norwich Ave","Los Angeles","CA",91343,"Gunshot","Pending investigation","Allegedly Armed"
"817","26","Male","White","1/17/2016","6530 E Superstition Springs Blvd","Mesa","AZ",85206,"Gunshot","Charged with murder","Unarmed"
"818","38","Male","White","1/17/2016","164 Christopher St","Rainbow City","AL",35906,"Gunshot","Pending investigation","Allegedly Armed"
"819","27","Male","White","1/17/2016","5600 Enrique Barerra Pkwy","San Antonio","TX",78227,"Gunshot","Pending investigation","Allegedly Armed"
"820","52","Male","Black","1/17/2016","3517 S Grand Blvd","Saint Louis","MO",63118,"Gunshot","Pending investigation","Allegedly Armed"
"821","31","Male","White","1/17/2016","2167 E 4500 S","Holladay","UT",84117,"Gunshot","Pending investigation","Allegedly Armed"
"822","44","Male","White","1/16/2016","10100 SW Murray Blvd","Beaverton","OR",97008,"Gunshot","Pending investigation","Unarmed"
"823","25","Female","White","1/16/2016","300 S Pierce St","El Cajon","CA",92020,"Gunshot","Pending investigation","Unarmed"
"824","34","Male","Hispanic","1/16/2016","1800 Nichols Canyon Rd","Los Angeles","CA",90046,"Gunshot","Pending investigation","Unarmed"
"825","19","Male","Black","1/16/2016","SW Ave D and SW 9th St","Belle Glade","FL",33430,"Gunshot","Pending investigation","Allegedly Armed"
"826","55","Male","White","1/16/2016","","Petroleum","WV",26161,"Gunshot","Pending investigation","Vehicle"
"827","26","Male","White","1/15/2016","Ward Avenue","Elkins","WV",26241,"Gunshot","Pending investigation","Allegedly Armed"
"828","24","Male","Black","1/15/2016","27033 Northwestern Hwy","Southfield","MI",48075,"Gunshot","Pending investigation","Allegedly Armed"
"829","31","Male","White","1/14/2016","27th Street and Fourth Avenue South","Birmingham","AL",35233,"Vehicle","Pending investigation","Vehicle"
"830","41","Male","White","1/14/2016","111 Seba St","Hurst","IL",62949,"Gunshot","Pending investigation","Allegedly Armed"
"831","39","Male","Hispanic","1/14/2016","Shangri-La Dr and Nathan Hill Dr","Santa Clarita","CA",91351,"Gunshot","Pending investigation","Allegedly Armed"
"832","60","Male","White","1/13/2016","805 W 1st St","Cle Elum","WA",98922,"Gunshot","Pending investigation","Allegedly Armed"
"833","29","Male","White","1/13/2016","180 Collier Dr","Sevierville","TN",37862,"Gunshot","Pending investigation","Allegedly Armed"
"834","49","Male","Native American","1/12/2016","Arctic Blvd and W 32nd Ave","Anchorage","AK",99503,"Gunshot","Pending investigation","Allegedly Armed"
"835","45","Male","White","1/11/2016","Rapid Run Rd and Sunset Ave","Cincinnati","OH",45205,"Gunshot","Pending investigation","Unarmed"
"836","32","Male","White","1/11/2016","W 26th Ave and Zuni St","Denver","CO",80211,"Gunshot","Pending investigation","Allegedly Armed"
"837","58","Male","White","1/11/2016","1100 Land St","Norfolk","VA",23502,"Gunshot","Pending investigation","Allegedly Armed"
"838","12","Female","White","1/11/2016","Rebecca Dr","Duncannon","PA",17020,"Gunshot","Pending investigation","Unarmed"
"839","55","Male","White","1/11/2016","San Fernando Rd and Hubbard St","San Fernando","CA",91342,"Gunshot","Pending investigation","Unclear"
"840","16","Female","Black","1/10/2016","820 New Glendale Rd","Elizabethtown","KY",42701,"Physical restraint","Pending investigation","Unarmed"
"841","45","Female","White","1/10/2016","600 Lombard Rd","Rising Sun","MD",21911,"Gunshot","Pending investigation","Unarmed"
"842","37","Male","White","1/9/2016","8900 Rose Valley Rd","Kelso","WA",98626,"Gunshot","Pending investigation","Allegedly Armed"
"843","50","Male","White","1/8/2016","4500 Bartow Carver Rd SE","Acworth","GA",30102,"Gunshot","Pending investigation","Allegedly Armed"
"844","26","Male","White","1/8/2016","3800 Lincoln Dr","Lake Geneva","WI",53147,"Gunshot","Pending investigation","Allegedly Armed"
"845","34","Male","White","1/7/2016","","Owensboro","KY",42301,"Gunshot","Pending investigation","Allegedly Armed"
"846","29","Male","Black","1/7/2016","2 Administration Road","Bridgewater","MA",2324,"Physical restraint","Pending investigation","Unarmed"
"847","32","Male","Hispanic","1/7/2016","US-380","Carrizozo","NM",88301,"Gunshot","Pending investigation","Allegedly Armed"
"848","38","Male","White","1/6/2016","2000 Ezekiel Ave","Zion","IL",60099,"Gunshot","Pending investigation","Unarmed"
"849","28","Male","Hispanic","1/5/2016","2601 Don Pedro Rd","Ceres","CA",95307,"Gunshot","Pending investigation","Unclear"
"850","33","Male","Black","1/5/2016","3117 Tacoma St","Charlotte","NC",28208,"Gunshot","Pending investigation","Allegedly Armed"
"851","51","Male","White","1/5/2016","3200 Gulf Fwy","Dickinson","TX",77539,"Vehicle","Pending investigation","Unarmed"
"852","52","Male","White","1/5/2016","200 Boulder Creek Dr","Redding","CA",96003,"Gunshot","Pending investigation","Allegedly Armed"
"853","29","Male","White","1/5/2016","93rd Ave SE","Tumwater","WA",98501,"Gunshot","Pending investigation","Unarmed"
"854","38","Male","White","1/5/2016","Mary St","Johnson City","TN",37604,"Gunshot","Pending investigation","Allegedly Armed"
"855","54","Male","White","1/5/2016","151 S Bishop Ave","Upper Darby","PA",19018,"Gunshot","Pending investigation","Allegedly Armed"
"856","27","Male","Black","1/4/2016","Gene Stanley Rd","Ragley","LA",70657,"Gunshot","Pending investigation","Unclear"
"857","50","Male","Hispanic","1/4/2016","7300 N 71st Ave","Glendale","AZ",85303,"Vehicle","Pending investigation","Vehicle"
"858","22","Male","Black","1/4/2016","3600 NW 42nd St","Oklahoma City","OK",73112,"Gunshot","Pending investigation","Allegedly Armed"
"859","30","Male","Black","1/3/2016","2600 Watson Dr","Charlotte","NC",28208,"Gunshot","Pending investigation","Allegedly Armed"
"860","37","Male","White","1/2/2016","100 Washington St","Livingston","MT",59047,"Gunshot","Pending investigation","Allegedly Armed"
"861","54","Male","White","1/2/2016","I-20 and Texas Hwy 70","Sweetwater","TX",79556,"Gunshot","Pending investigation","Allegedly Armed"
"862","37","Male","White","1/2/2016","1301 E 10th St","Sioux Falls","SD",57103,"Gunshot","Pending investigation","Allegedly Armed"
"863","30","Male","White","1/1/2016","4200 6th Ave","San Diego","CA",92103,"Gunshot","","Allegedly Armed"
