"","Victim.s.age","Victim.s.gender","Victim.s.race","Date.of.injury.resulting.in.death..month.day.year.","Location.of.injury..address.","Location.of.death..city.","Location.of.death..state.","Location.of.death..zip.code.","Cause.of.death","Official.disposition.of.death..justified.or.other.","Unarmed"
"217","49","Male","Black","7/23/2016","2500 block N 5th St","Milwaukee","WI",53212,"Gunshot","Pending investigation","Allegedly Armed"
"218","34","Male","Hispanic","7/23/2016","100 block Olga St","San Antonio","TX",78237,"Gunshot","Pending investigation","Allegedly Armed"
"219","50","Male","Black","7/21/2016","S Calumet Ave and E 18th St","Chicago","IL",60616,"Gunshot","Pending investigation","Allegedly Armed"
"220","36","Male","Pacific Islander","7/21/2016","Kaloli Drive and Beach Road","Keaau","HI",96749,"Gunshot","Pending investigation","Allegedly Armed"
"221","50","Male","White","7/21/2016","50 York Road","Buckhannon","WV",26201,"Gunshot","Pending investigation","Allegedly Armed"
"222","31","Male","Hispanic","7/20/2016","1400 S Broadway and W Enos Drive","Santa Maria","CA",93454,"Gunshot","Pending investigation","Allegedly Armed"
"223","39","Male","White","7/20/2016","31-33 Marion Ave.","Waterbury","CT",6708,"Gunshot","Murder/suicide","Unclear"
"224","56","Male","White","7/18/2016","2300 block W 44th St","Tulsa","OK",74107,"Gunshot","Pending investigation","Allegedly Armed"
"225","29","Male","Black","7/17/2016","9607 Airline Hwy","Baton Rouge","LA",70815,"Gunshot","Pending investigation","Allegedly Armed"
"226","50","Male","Unknown race","7/17/2016","Louisiana Hwy 16","Port Vincent","LA",70726,"Tasered","Pending investigation","Allegedly Armed"
"227","42","Male","Black","7/17/2016","Debevoise Ave. and Jackson St.","Brooklyn","NY",11211,"Gunshot","Pending investigation","Allegedly Armed"
"228","20","Male","Hispanic","7/17/2016","2000 block University Boulevard","Langley Park","MD",20783,"Vehicle","Pending investigation","Unarmed"
"229","37","Male","White","7/17/2016","1401 Union Ave","Sheboygan","WI",53081,"Gunshot","Pending investigation","Allegedly Armed"
"230","43","Male","White","7/17/2016","2700 block E Oklahoma Place","Tulsa","OK",74110,"Gunshot","Pending investigation","Allegedly Armed"
"231","31","Male","White","7/16/2016","3300 Citation Dr","Green Cove Springs","FL",32043,"Gunshot","Pending investigation","Allegedly Armed"
"232","21","Male","White","7/16/2016","161 Bedford Ave","Brooklyn","NY",11211,"Vehicle","Charged with manslaughter","Unarmed"
"233","57","Male","White","7/16/2016","Sycamore Dr","Little Egg Harbor Township","NJ",8087,"Gunshot","Pending investigation","Allegedly Armed"
"234","26","Male","White","7/16/2016","Highland Avenue and Mountain View Avenue","San Bernardino","CA",92405,"Gunshot","Pending investigation","Allegedly Armed"
"235","63","Male","White","7/15/2016","Upper White Store Rd","Peachland","NC",28133,"Gunshot","Pending investigation","Allegedly Armed"
"236","33","Male","Black","7/14/2016","2300 block Winchester St","Baltimore","MD",21216,"Gunshot","Pending investigation","Allegedly Armed"
"237","18","Male","Black","7/14/2016","2006 South Western Avenue","Marion","IN",46953,"Gunshot","Pending investigation","Allegedly Armed"
"238","32","Male","White","7/13/2016","1300 block East Circle View Drive","Flagstaff","AZ",86001,"Gunshot","Pending investigation","Allegedly Armed"
"239","53","Male","White","7/13/2016","109 Overlook Drive","Middletown","NY",10940,"Gunshot","Pending investigation","Unarmed"
"240","35","Male","Black","7/13/2016","4700 block of N Western Avenue","Oklahoma City","OK",73118,"Tasered","Pending investigation","Allegedly Armed"
"241","23","Male","White","7/12/2016","400 Rodeo Pl","Anchorage","AK",99508,"Gunshot","Pending investigation","Allegedly Armed"
"242","36","Male","White","7/12/2016","5200 block Lewisburg Rd","Birmingham","AL",35207,"Tasered","Pending investigation","Unarmed"
"243","49","Male","White","7/12/2016","Hargrave Road","Kaplan","LA",70548,"Physical Restraint","Pending investigation","Unarmed"
"244","44","Male","White","7/11/2016","811 Port Street","St. Joseph","MI",49085,"Gunshot","Pending investigation","Allegedly Armed"
"245","39","Male","Black","7/11/2016","78th Street and Stillwell Avenue","Brooklyn","NY",11214,"Gunshot","Pending investigation","Allegedly Armed"
"246","41","Male","Hispanic","7/11/2016","8600 Wickham Rd","Romulus","MI",48174,"Gunshot","Pending investigation","Allegedly Armed"
"247","50","Male","Black","7/11/2016","1300 block Del Paso Blvd","Sacramento","CA",95815,"Gunshot","Pending investigation","Allegedly Armed"
"248","41","Male","Black","7/11/2016","Gaty Ave and N 16th St","East St Louis","IL",62201,"Gunshot","Pending investigation","Allegedly Armed"
"249","40","Male","Black","7/9/2016","E 10th St and Norris Dr","Broken Bow","OK",74728,"Gunshot","Pending investigation","Allegedly Armed"
"250","38","Male","Black","7/9/2016","6730 Cullen Boulevard","Houston","TX",77021,"Gunshot","Pending investigation","Allegedly Armed"
"251","20","Male","Black","7/9/2016","10000 block Lakeside Drive","Lakeshire","MO",63123,"Gunshot","Pending investigation","Unclear"
"252","30","Male","White","7/8/2016","N 7th Ave and E Rillito St","Tucson","AZ",85705,"Gunshot","Pending investigation","Allegedly Armed"
"253","37","Male","Hispanic","7/7/2016","7120 Atlantic Ave","Bell","CA",90201,"Gunshot","Pending investigation","Allegedly Armed"
"254","33","Male","White","7/7/2016","500 Helm Ave","Clovis","CA",93612,"Gunshot","Pending investigation","Vehicle"
"255","25","Male","Black","7/7/2016","800 Main St","Dallas","TX",75202,"Other","Pending investigation","Allegedly Armed"
"256","62","Male","Black","7/7/2016","700 King St","Selma","AL",36701,"Gunshot","Pending investigation","Allegedly Armed"
"257","Unknown","Male","Hispanic","7/6/2016","573 N Azusa Ave","Covina","CA",91722,"Gunshot","Pending investigation","Allegedly Armed"
"258","65","Male","White","7/6/2016","769 State 17 Highway","Rush Springs","OK",73082,"Gunshot","Pending investigation","Allegedly Armed"
"259","32","Male","Black","7/6/2016","Larpenteur Ave W and St Mary's St","Falcon Heights","MN",55113,"Gunshot","Pending investigation","Unclear"
"260","36","Male","Black","7/6/2016","Midway Road","Raymond","MS",39154,"Gunshot","Pending investigation","Allegedly Armed"
"261","37","Male","Black","7/5/2016","2112 N Foster Dr","Baton Rouge","LA",70806,"Gunshot","Pending investigation","Unclear"
"262","29","Male","White","7/5/2016","Highway 22 and Doaks Ferry Road NW","Salem","OR",97304,"Gunshot","Pending investigation","Unclear"
"263","49","Male","White","7/5/2016","42104 Moraga Rd","Temecula","CA",92591,"Gunshot","Pending investigation","Unclear"
"264","24","Female","Hispanic","7/5/2016","800 block S Avenue C","Yuma","AZ",85364,"Gunshot","Pending investigation","Allegedly Armed"
"265","19","Male","Hispanic","7/4/2016","100 block North Pritchard Avenue","Fullerton","CA",92833,"Gunshot","Pending investigation","Unclear"
"266","29","","Black","7/4/2016","12000 block TX-34","Rosser","TX",75158,"Gunshot","Pending investigation","Unclear"
"267","21","Male","Black","7/4/2016","1300 block 49th Street NE","Washington","DC",20019,"Gunshot","Pending investigation","Allegedly Armed"
"268","37","Male","Black","7/4/2016","Bradford Street and Atlantic Avenue","Brooklyn","NY",11207,"Gunshot","Charged with second-degree murder","Unarmed"
"269","34","Male","White","7/4/2016","8174 Waltham Rd","North Charleston","SC",29406,"Gunshot","Pending investigation","Allegedly Armed"
"270","18","Male","Hispanic","7/4/2016","900 block Feller Avenue","San Jose","CA",95127,"Gunshot","Pending investigation","Allegedly Armed"
"271","40","Male","White","7/3/2016","McDonald Street","New Iberia","LA",70563,"Gunshot","Pending investigation","Allegedly Armed"
"272","24","Male","Hispanic","7/3/2016","346 N Virginia St","Reno","NV",89501,"Gunshot","Pending investigation","Unclear"
"273","32","Male","Hispanic","7/2/2016","240 S Magnolia Ave","Anaheim","CA",92804,"Tasered","Pending investigation","Unarmed"
"274","35","Male","Black","7/2/2016","275 Deaverview Rd","Asheville","NC",28806,"Gunshot","Pending investigation","Allegedly Armed"
"275","50","Male","White","7/2/2016","1403 Bluff City Hwy","Bristol","TN",37620,"Gunshot","Pending investigation","Allegedly Armed"
"276","30","Male","White","7/1/2016","11 Parmenter Street","Cartersville","GA",30120,"Gunshot","Pending investigation","Allegedly Armed"
"277","22","Male","Black","7/1/2016","S Union Ave & W 124th St","Chicago","IL",60628,"Vehicle","Pending investigation","Unclear"
"278","26","Male","Black","7/1/2016","S Union Ave & W 124th St","Chicago","IL",60628,"Vehicle","Pending investigation","Unclear"
"279","63","Male","White","7/1/2016","200 block Bird Mountain Road","Landrum","SC",29356,"Gunshot","Pending investigation","Unclear"
"280","57","Male","White","7/1/2016","Stonewall Drive and Highland Road","Jackson","WI",53037,"Gunshot","Pending investigation","Allegedly Armed"
"281","25","Male","Black","6/30/2016","1100 Lockhurst Rd","Columbus","OH",43207,"Gunshot","Pending investigation","Allegedly Armed"
"282","41","Male","White","6/30/2016","1300 Morrison St","Madison","WI",53703,"Gunshot","Pending investigation","Allegedly Armed"
"283","24","Male","White","6/30/2016","","Guffey","CO",80820,"Gunshot","Pending investigation","Allegedly Armed"
"284","44","Male","Hispanic","6/30/2016","302 S 5th St","Douglas","WY",82633,"Gunshot","Pending investigation","Unclear"
"285","37","Male","Black","6/29/2016","1206 48th St","Fort Madison","IA",52627,"Gunshot","Pending investigation","Allegedly Armed"
"286","30","Male","White","6/29/2016","Kentucky Hwy 223","Flat Lick","KY",40935,"Gunshot","Pending investigation","Unclear"
"287","50","Male","Black","6/29/2016","Luther Dr","Monroe","LA",71202,"Gunshot","Pending investigation","Unclear"
"288","61","Male","Unknown race","6/28/2016","1212 Kinau St","Honolulu","HI",96814,"Gunshot","Pending investigation","Allegedly Armed"
"289","27","Male","Asian","6/28/2016","2800 E 15th St","Long Beach","CA",90804,"Gunshot","Pending investigation","Allegedly Armed"
"290","30","Male","Hispanic","6/27/2016","S Oswell St & Barstow-Bakersfield Hwy","Bakersfield","CA",93307,"Vehicle","Pending investigation","Unarmed"
"291","32","Male","Unknown race","6/27/2016","307 Georgia Hwy 257","Cochran","GA",31014,"Gunshot","Pending investigation","Allegedly Armed"
"292","28","Male","White","6/27/2016","332 W 2nd St","Boone","IA",50036,"Gunshot","Pending investigation","Allegedly Armed"
"293","25","Male","White","6/27/2016","Delaware Route 1","Frederica","DE",19946,"Gunshot","Pending investigation","Unarmed"
"294","26","Male","White","6/27/2016","Laguna Pueblo","Laguna","NM",87026,"Gunshot","Pending investigation","Allegedly Armed"
"295","63","Male","Black","6/27/2016","100 Varnum St NE","Washington","DC",20019,"Gunshot","Pending investigation","Unarmed"
"296","51","Male","White","6/26/2016","8000 Clark Lake Rd","Clarklake","MI",49234,"Gunshot","Pending investigation","Allegedly Armed"
