"","Date.of.injury.resulting.in.death..month.day.year.","Victim.s.age","Victim.s.gender","Victim.s.race","Cause.of.death","Unarmed","city","state","zip","latitude","longitude"
"1215","5/17/15","18","Male","White","Gunshot","Allegedly Armed","Saint Petersburg","FL","33714",27.817323,-82.67612
"1216","10/26/13","69","Male","White","Gunshot","Allegedly Armed","Clearwater","FL","33759",27.980297,-82.71645
"1217","2/20/13","27","Male","Unknown race","Vehicle","Vehicle","Clearwater","FL","33759",27.980297,-82.71645
"1218","5/16/14","36","Male","White","Gunshot","Allegedly Armed","Clearwater","FL","33760",27.90802,-82.71365
"1219","6/25/16","59","Male","White","Gunshot","Allegedly Armed","Pinellas Park","FL","33782",27.861925,-82.71145
"1220","10/11/13","21","Male","Unknown race","Gunshot","Allegedly Armed","Lakeland","FL","33801",28.041198,-81.92392
"1221","9/7/16","32","Male","White","Gunshot","Allegedly Armed","Lakeland","FL","33801",28.041198,-81.92392
"1222","12/23/14","61","Male","Unknown race","Gunshot","Allegedly Armed","Lakeland","FL","33805",28.071564,-81.95802
"1223","6/29/14","24","Male","Black","Vehicle","Unarmed","Lakeland","FL","33805",28.071564,-81.95802
"1224","2/26/15","42","Male","White","Gunshot","Allegedly Armed","Lakeland","FL","33809",28.128494,-81.95625
"1225","9/21/15","34","Male","Hispanic","Gunshot","Unarmed","Auburndale","FL","33823",28.068865,-81.80267
"1226","3/9/14","31","Male","Black","Gunshot","Allegedly Armed","Sebring","FL","33876",27.436826,-81.35515
"1227","1/4/13","21","Male","White","Gunshot","Allegedly Armed","Fort Myers","FL","33908",26.502677,-81.93052
"1228","8/22/14","15","Male","White","Vehicle","Unarmed","Cape Coral","FL","33909",26.687462,-81.94968
"1229","10/24/15","34","Male","Black","Gunshot","Allegedly Armed","Cape Coral","FL","33909",26.687462,-81.94968
"1230","6/5/16","31","Male","White","Gunshot","Unclear","Cape Coral","FL","33914",26.579862,-82.00227
"1231","7/9/14","37","Male","White","Gunshot","Allegedly Armed","Estero","FL","33928",26.425671,-81.80196
